,Model,NVARS,Parameters,Trn,Tst,OOT
261,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.847039474,0.75,0.43575419
262,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.845906902,0.750972763,0.458100559
263,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.830033003,0.791970803,0.491620112
264,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.817152104,0.782442748,0.458100559
265,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.826224329,0.805668016,0.413407821
266,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.839805825,0.790076336,0.525139665
267,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.840871022,0.780918728,0.413407821
268,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.831730769,0.79296875,0.43575419
269,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.813771518,0.813278008,0.469273743
270,NN,10,"hidden_layer_sizes=(10, 10)",0.699186992,0.679245283,0.480446927
271,NN,10,"hidden_layer_sizes=(10, 10)",0.716150082,0.74906367,0.536312849
272,NN,10,"hidden_layer_sizes=(10, 10)",0.700813008,0.701886792,0.530726257
273,NN,10,"hidden_layer_sizes=(10, 10)",0.733438486,0.711382114,0.525139665
