,variables
483,card_Merch_des_state_actual/avg_3
484,card_Merch_des_state_std_3
485,card_Merch_des_state_total_3
486,card_Merch_des_state_max_3
487,card_Merch_des_state_avg_3
488,card_Merch_des_state_count_3
489,card_Merch_des_state_variability_std_1
490,card_Merch_des_state_variability_cum_1
491,card_Merch_des_state_variability_max_1
492,card_Merch_des_state_variability_min_1
493,card_Merch_des_state_variability_avg_1
494,card_Merch_des_state_actual/total_1
495,card_Merch_des_state_actual/max_1
496,card_Merch_des_state_actual/avg_1
497,card_Merch_des_state_std_1
498,card_Merch_des_state_total_1
499,card_Merch_des_state_max_1
500,card_Merch_des_state_avg_1
501,card_Merch_des_state_count_1
502,card_Merch_des_state_variability_std_0
503,card_Merch_des_state_variability_cum_0
504,card_Merch_des_state_variability_max_0
505,card_Merch_des_state_variability_min_0
506,card_Merch_des_state_variability_avg_0
507,card_Merch_des_state_actual/total_0
508,card_Merch_des_state_actual/max_0
509,card_Merch_des_state_actual/avg_0
510,card_Merch_des_state_std_0
511,card_Merch_des_state_total_0
512,card_Merch_des_state_max_0
513,card_Merch_des_state_avg_0
514,card_Merch_des_state_count_0
515,card_Merch_des_state_day_since
516,card_Merch_num_zip_variability_std_30
517,card_Merch_num_zip_variability_cum_30
518,card_Merch_num_zip_variability_max_30
519,card_Merch_num_zip_variability_min_30
520,card_Merch_num_zip_variability_avg_30
521,card_Merch_num_zip_actual/total_30
522,card_Merch_num_zip_actual/max_30
523,card_Merch_num_zip_actual/avg_30
524,card_Merch_num_zip_std_30
525,card_Merch_num_zip_total_30
526,card_Merch_num_zip_max_30
527,card_Merch_num_zip_avg_30
528,card_Merch_num_zip_count_30
529,card_Merch_num_zip_variability_std_14
530,card_Merch_num_zip_variability_cum_14
531,card_Merch_num_zip_variability_max_14
532,card_Merch_num_zip_variability_min_14
533,card_Merch_num_zip_variability_avg_14
534,card_Merch_num_zip_actual/total_14
535,card_Merch_num_zip_actual/max_14
536,card_Merch_num_zip_actual/avg_14
537,card_Merch_num_zip_std_14
538,card_Merch_num_zip_total_14
539,card_Merch_num_zip_max_14
540,card_Merch_num_zip_avg_14
541,card_Merch_num_zip_count_14
542,card_Merch_num_zip_variability_std_7
543,card_Merch_num_zip_variability_cum_7
544,card_Merch_num_zip_variability_max_7
545,card_Merch_num_zip_variability_min_7
546,card_Merch_num_zip_variability_avg_7
547,card_Merch_num_zip_actual/total_7
548,card_Merch_num_zip_actual/max_7
549,card_Merch_num_zip_actual/avg_7
550,card_Merch_num_zip_std_7
551,card_Merch_num_zip_total_7
552,card_Merch_num_zip_max_7
553,card_Merch_num_zip_avg_7
554,card_Merch_num_zip_count_7
555,card_Merch_num_zip_variability_std_3
556,card_Merch_num_zip_variability_cum_3
557,card_Merch_num_zip_variability_max_3
558,card_Merch_num_zip_variability_min_3
559,card_Merch_num_zip_variability_avg_3
560,card_Merch_num_zip_actual/total_3
561,card_Merch_num_zip_actual/max_3
562,card_Merch_num_zip_actual/avg_3
563,card_Merch_num_zip_std_3
564,card_Merch_num_zip_total_3
565,card_Merch_num_zip_max_3
566,card_Merch_num_zip_avg_3
567,card_Merch_num_zip_count_3
568,card_Merch_num_zip_variability_std_1
569,card_Merch_num_zip_variability_cum_1
570,card_Merch_num_zip_variability_max_1
571,card_Merch_num_zip_variability_min_1
572,card_Merch_num_zip_variability_avg_1
573,card_Merch_num_zip_actual/total_1
574,card_Merch_num_zip_actual/max_1
575,card_Merch_num_zip_actual/avg_1
576,card_Merch_num_zip_std_1
577,card_Merch_num_zip_total_1
578,card_Merch_num_zip_max_1
579,card_Merch_num_zip_avg_1
580,card_Merch_num_zip_count_1
581,card_Merch_num_zip_variability_std_0
582,card_Merch_num_zip_variability_cum_0
583,card_Merch_num_zip_variability_max_0
584,card_Merch_num_zip_variability_min_0
585,card_Merch_num_zip_variability_avg_0
586,card_Merch_num_zip_actual/total_0
587,card_Merch_num_zip_actual/max_0
588,card_Merch_num_zip_actual/avg_0
589,card_Merch_num_zip_std_0
590,card_Merch_num_zip_total_0
591,card_Merch_num_zip_max_0
592,card_Merch_num_zip_avg_0
593,card_Merch_num_zip_count_0
594,card_Merch_num_zip_day_since
595,card_Merch_num_state_variability_std_30
596,card_Merch_num_state_variability_cum_30
597,card_Merch_num_state_variability_max_30
